route_id,route_name,mode,hour,day_of_week,is_weekend,weather,period,lighting_score,crowd_level,incident_count_30d,delay_minutes
R1,Whitefield -> MG Road,Metro+Bus,11,Monday,0,Heavy Rain,off_peak,7.26,5.0,0,27.06
R1,Whitefield -> MG Road,Metro+Bus,14,Saturday,1,Clear,off_peak,6.87,5.95,0,6.44
R1,Whitefield -> MG Road,Metro+Bus,8,Friday,0,Clear,morning_rush,7.57,8.16,0,20.78
R1,Whitefield -> MG Road,Metro+Bus,5,Saturday,1,Clear,late_night,2.81,2.75,3,2.69
R1,Whitefield -> MG Road,Metro+Bus,18,Sunday,1,Clear,evening_rush,6.97,9.14,1,12.17
R1,Whitefield -> MG Road,Metro+Bus,18,Saturday,1,Fog,evening_rush,7.61,9.97,2,23.82
R1,Whitefield -> MG Road,Metro+Bus,21,Thursday,0,Clear,off_peak,7.01,5.16,0,0.0
R1,Whitefield -> MG Road,Metro+Bus,4,Saturday,1,Clear,late_night,4.39,2.03,1,0.0
R1,Whitefield -> MG Road,Metro+Bus,9,Friday,0,Clear,morning_rush,7.23,9.66,1,16.19
R1,Whitefield -> MG Road,Metro+Bus,22,Wednesday,0,Clear,late_night,3.08,3.05,1,4.31
R1,Whitefield -> MG Road,Metro+Bus,7,Saturday,1,Clear,morning_rush,7.15,9.46,1,10.74
R1,Whitefield -> MG Road,Metro+Bus,18,Wednesday,0,Rain,evening_rush,6.92,9.36,3,31.91
R1,Whitefield -> MG Road,Metro+Bus,18,Friday,0,Clear,evening_rush,7.5,9.2,3,22.06
R1,Whitefield -> MG Road,Metro+Bus,18,Saturday,1,Fog,evening_rush,6.56,9.69,1,22.34
R1,Whitefield -> MG Road,Metro+Bus,0,Thursday,0,Rain,late_night,3.5,2.7,4,12.48
R1,Whitefield -> MG Road,Metro+Bus,12,Sunday,1,Clear,off_peak,7.68,4.44,1,3.16
R1,Whitefield -> MG Road,Metro+Bus,14,Thursday,0,Rain,off_peak,7.41,5.25,0,14.61
R1,Whitefield -> MG Road,Metro+Bus,4,Thursday,0,Clear,late_night,3.09,3.5,4,7.63
R1,Whitefield -> MG Road,Metro+Bus,17,Monday,0,Clear,evening_rush,7.47,9.72,1,23.93
R1,Whitefield -> MG Road,Metro+Bus,18,Friday,0,Clear,evening_rush,6.9,8.72,1,24.02
R1,Whitefield -> MG Road,Metro+Bus,22,Monday,0,Clear,late_night,2.64,2.05,4,0.0
R1,Whitefield -> MG Road,Metro+Bus,19,Monday,0,Heavy Rain,evening_rush,6.98,9.48,3,44.25
R1,Whitefield -> MG Road,Metro+Bus,18,Saturday,1,Clear,evening_rush,6.98,8.86,2,2.91
R1,Whitefield -> MG Road,Metro+Bus,20,Monday,0,Clear,evening_rush,6.76,8.9,3,24.09
R1,Whitefield -> MG Road,Metro+Bus,22,Wednesday,0,Clear,late_night,3.08,4.54,3,1.66
R1,Whitefield -> MG Road,Metro+Bus,16,Tuesday,0,Clear,off_peak,6.89,5.14,0,0.68
R1,Whitefield -> MG Road,Metro+Bus,22,Sunday,1,Rain,late_night,2.85,3.85,6,10.54
R1,Whitefield -> MG Road,Metro+Bus,7,Saturday,1,Clear,morning_rush,7.29,9.1,2,9.38
R1,Whitefield -> MG Road,Metro+Bus,23,Saturday,1,Rain,late_night,2.55,3.14,7,3.92
R1,Whitefield -> MG Road,Metro+Bus,10,Tuesday,0,Heavy Rain,morning_rush,6.9,8.94,1,33.85
R1,Whitefield -> MG Road,Metro+Bus,8,Tuesday,0,Heavy Rain,morning_rush,7.08,9.17,1,34.93
R1,Whitefield -> MG Road,Metro+Bus,17,Wednesday,0,Clear,evening_rush,7.26,9.63,1,22.12
R1,Whitefield -> MG Road,Metro+Bus,21,Wednesday,0,Clear,off_peak,7.35,5.07,2,7.31
R1,Whitefield -> MG Road,Metro+Bus,4,Monday,0,Clear,late_night,2.72,3.19,2,5.94
R1,Whitefield -> MG Road,Metro+Bus,7,Tuesday,0,Rain,morning_rush,7.15,8.91,1,22.99
R1,Whitefield -> MG Road,Metro+Bus,1,Thursday,0,Fog,late_night,2.89,3.72,7,16.42
R1,Whitefield -> MG Road,Metro+Bus,3,Sunday,1,Clear,late_night,3.06,4.54,3,0.0
R1,Whitefield -> MG Road,Metro+Bus,16,Monday,0,Clear,off_peak,6.81,6.09,0,3.71
R1,Whitefield -> MG Road,Metro+Bus,2,Tuesday,0,Rain,late_night,3.46,1.94,2,6.74
R1,Whitefield -> MG Road,Metro+Bus,9,Monday,0,Clear,morning_rush,7.05,8.2,3,21.43
R1,Whitefield -> MG Road,Metro+Bus,21,Saturday,1,Fog,off_peak,7.22,4.83,1,14.8
R1,Whitefield -> MG Road,Metro+Bus,15,Sunday,1,Fog,off_peak,6.62,6.56,0,14.37
R1,Whitefield -> MG Road,Metro+Bus,14,Friday,0,Rain,off_peak,6.95,5.81,1,11.42
R1,Whitefield -> MG Road,Metro+Bus,2,Tuesday,0,Clear,late_night,3.67,3.78,6,0.92
R1,Whitefield -> MG Road,Metro+Bus,6,Sunday,1,Rain,off_peak,7.15,5.09,2,16.13
R1,Whitefield -> MG Road,Metro+Bus,2,Tuesday,0,Fog,late_night,3.32,2.9,1,19.14
R1,Whitefield -> MG Road,Metro+Bus,16,Friday,0,Clear,off_peak,6.8,4.59,0,11.79
R1,Whitefield -> MG Road,Metro+Bus,6,Thursday,0,Rain,off_peak,6.87,4.83,0,7.44
R1,Whitefield -> MG Road,Metro+Bus,17,Thursday,0,Rain,evening_rush,7.19,8.85,0,25.23
R1,Whitefield -> MG Road,Metro+Bus,4,Friday,0,Clear,late_night,3.14,3.03,6,0.0
R1,Whitefield -> MG Road,Metro+Bus,21,Friday,0,Heavy Rain,off_peak,6.97,5.31,0,20.75
R1,Whitefield -> MG Road,Metro+Bus,8,Wednesday,0,Clear,morning_rush,6.49,9.11,1,21.58
R1,Whitefield -> MG Road,Metro+Bus,16,Wednesday,0,Rain,off_peak,6.79,6.41,1,9.88
R1,Whitefield -> MG Road,Metro+Bus,8,Wednesday,0,Clear,morning_rush,6.82,8.98,1,20.81
R1,Whitefield -> MG Road,Metro+Bus,14,Monday,0,Clear,off_peak,6.76,4.17,1,3.47
R1,Whitefield -> MG Road,Metro+Bus,5,Friday,0,Clear,late_night,2.74,3.13,7,0.0
R1,Whitefield -> MG Road,Metro+Bus,12,Monday,0,Heavy Rain,off_peak,7.33,5.49,2,23.77
R1,Whitefield -> MG Road,Metro+Bus,5,Thursday,0,Clear,late_night,2.81,2.5,5,3.52
R1,Whitefield -> MG Road,Metro+Bus,12,Saturday,1,Clear,off_peak,7.05,4.87,0,0.0
R1,Whitefield -> MG Road,Metro+Bus,6,Tuesday,0,Clear,off_peak,6.89,5.66,0,4.57
R1,Whitefield -> MG Road,Metro+Bus,4,Friday,0,Rain,late_night,2.69,3.45,2,11.56
R1,Whitefield -> MG Road,Metro+Bus,17,Tuesday,0,Fog,evening_rush,6.82,10.0,3,36.93
R1,Whitefield -> MG Road,Metro+Bus,0,Saturday,1,Clear,late_night,3.37,3.41,4,0.0
R1,Whitefield -> MG Road,Metro+Bus,1,Sunday,1,Rain,late_night,2.36,3.52,5,8.86
R1,Whitefield -> MG Road,Metro+Bus,5,Wednesday,0,Clear,late_night,3.12,2.86,1,1.86
R1,Whitefield -> MG Road,Metro+Bus,23,Thursday,0,Clear,late_night,4.26,2.01,2,3.06
R1,Whitefield -> MG Road,Metro+Bus,7,Sunday,1,Clear,morning_rush,7.01,8.61,2,7.89
R1,Whitefield -> MG Road,Metro+Bus,14,Monday,0,Clear,off_peak,7.49,5.9,0,6.81
R1,Whitefield -> MG Road,Metro+Bus,8,Saturday,1,Clear,morning_rush,6.7,9.53,2,10.33
R1,Whitefield -> MG Road,Metro+Bus,20,Tuesday,0,Rain,evening_rush,7.1,8.96,7,24.85
R1,Whitefield -> MG Road,Metro+Bus,11,Monday,0,Clear,off_peak,6.89,4.63,2,3.96
R1,Whitefield -> MG Road,Metro+Bus,0,Monday,0,Heavy Rain,late_night,2.31,2.34,4,16.56
R1,Whitefield -> MG Road,Metro+Bus,11,Monday,0,Fog,off_peak,7.41,4.08,4,21.11
R1,Whitefield -> MG Road,Metro+Bus,6,Wednesday,0,Heavy Rain,off_peak,7.4,5.12,1,24.58
R1,Whitefield -> MG Road,Metro+Bus,8,Thursday,0,Rain,morning_rush,6.85,8.81,1,24.05
R1,Whitefield -> MG Road,Metro+Bus,7,Friday,0,Rain,morning_rush,6.99,10.0,2,27.27
R1,Whitefield -> MG Road,Metro+Bus,23,Monday,0,Clear,late_night,2.62,2.75,4,1.47
R1,Whitefield -> MG Road,Metro+Bus,23,Thursday,0,Rain,late_night,3.44,3.46,4,5.76
R1,Whitefield -> MG Road,Metro+Bus,1,Thursday,0,Heavy Rain,late_night,3.44,3.39,5,19.48
R1,Whitefield -> MG Road,Metro+Bus,7,Thursday,0,Fog,morning_rush,6.83,8.6,1,25.27
R1,Whitefield -> MG Road,Metro+Bus,4,Saturday,1,Clear,late_night,2.81,3.46,3,2.63
R1,Whitefield -> MG Road,Metro+Bus,1,Wednesday,0,Rain,late_night,3.55,2.58,3,1.45
R1,Whitefield -> MG Road,Metro+Bus,2,Saturday,1,Clear,late_night,3.13,2.84,3,0.0
R1,Whitefield -> MG Road,Metro+Bus,19,Thursday,0,Clear,evening_rush,7.25,9.73,5,25.7
R1,Whitefield -> MG Road,Metro+Bus,19,Tuesday,0,Fog,evening_rush,6.86,9.09,1,33.04
R1,Whitefield -> MG Road,Metro+Bus,4,Monday,0,Clear,late_night,3.46,3.21,4,0.57
R1,Whitefield -> MG Road,Metro+Bus,12,Thursday,0,Rain,off_peak,6.68,4.63,1,13.84
R1,Whitefield -> MG Road,Metro+Bus,1,Monday,0,Heavy Rain,late_night,3.08,3.22,4,25.74
R1,Whitefield -> MG Road,Metro+Bus,7,Monday,0,Rain,morning_rush,7.2,8.35,1,22.77
R1,Whitefield -> MG Road,Metro+Bus,1,Tuesday,0,Rain,late_night,3.4,2.76,4,14.89
R1,Whitefield -> MG Road,Metro+Bus,1,Friday,0,Rain,late_night,3.38,3.47,4,9.67
R1,Whitefield -> MG Road,Metro+Bus,6,Sunday,1,Rain,off_peak,6.7,3.71,0,8.83
R1,Whitefield -> MG Road,Metro+Bus,16,Wednesday,0,Clear,off_peak,6.79,5.65,1,4.51
R1,Whitefield -> MG Road,Metro+Bus,7,Tuesday,0,Clear,morning_rush,6.58,8.01,1,22.6
R1,Whitefield -> MG Road,Metro+Bus,14,Wednesday,0,Rain,off_peak,7.26,5.46,0,13.78
R1,Whitefield -> MG Road,Metro+Bus,10,Wednesday,0,Clear,morning_rush,6.94,9.33,0,18.84
R1,Whitefield -> MG Road,Metro+Bus,3,Friday,0,Clear,late_night,2.69,1.85,4,4.91
R1,Whitefield -> MG Road,Metro+Bus,10,Sunday,1,Rain,morning_rush,7.03,8.2,1,18.19
R1,Whitefield -> MG Road,Metro+Bus,9,Friday,0,Clear,morning_rush,7.17,9.13,0,17.94
R1,Whitefield -> MG Road,Metro+Bus,9,Sunday,1,Fog,morning_rush,7.36,9.23,1,25.09
R1,Whitefield -> MG Road,Metro+Bus,8,Sunday,1,Rain,morning_rush,6.91,8.83,0,20.45
R1,Whitefield -> MG Road,Metro+Bus,4,Thursday,0,Clear,late_night,2.85,3.75,3,4.25
R1,Whitefield -> MG Road,Metro+Bus,17,Friday,0,Clear,evening_rush,7.12,8.89,0,23.9
R1,Whitefield -> MG Road,Metro+Bus,14,Wednesday,0,Rain,off_peak,6.54,5.16,1,11.61
R1,Whitefield -> MG Road,Metro+Bus,1,Wednesday,0,Clear,late_night,3.95,4.03,0,0.15
R1,Whitefield -> MG Road,Metro+Bus,23,Thursday,0,Rain,late_night,2.18,3.63,6,8.76
R1,Whitefield -> MG Road,Metro+Bus,5,Monday,0,Rain,late_night,2.89,2.69,4,13.72
R1,Whitefield -> MG Road,Metro+Bus,2,Saturday,1,Rain,late_night,3.84,3.25,2,9.62
R1,Whitefield -> MG Road,Metro+Bus,3,Friday,0,Clear,late_night,3.31,2.45,6,0.0
R1,Whitefield -> MG Road,Metro+Bus,18,Saturday,1,Fog,evening_rush,7.02,9.47,3,23.24
R1,Whitefield -> MG Road,Metro+Bus,6,Monday,0,Rain,off_peak,7.01,4.59,1,8.29
R1,Whitefield -> MG Road,Metro+Bus,8,Monday,0,Clear,morning_rush,6.67,7.71,1,14.48
R1,Whitefield -> MG Road,Metro+Bus,2,Saturday,1,Clear,late_night,2.95,3.55,4,1.25
R1,Whitefield -> MG Road,Metro+Bus,20,Wednesday,0,Clear,evening_rush,6.69,9.79,3,21.13
R1,Whitefield -> MG Road,Metro+Bus,21,Monday,0,Fog,off_peak,6.91,4.61,1,23.39
R1,Whitefield -> MG Road,Metro+Bus,12,Friday,0,Clear,off_peak,7.29,2.97,0,5.59
R1,Whitefield -> MG Road,Metro+Bus,12,Thursday,0,Rain,off_peak,6.71,5.44,0,12.73
R1,Whitefield -> MG Road,Metro+Bus,10,Saturday,1,Rain,morning_rush,6.61,8.06,1,15.62
R1,Whitefield -> MG Road,Metro+Bus,1,Saturday,1,Fog,late_night,2.83,2.63,4,13.45
R1,Whitefield -> MG Road,Metro+Bus,6,Thursday,0,Clear,off_peak,7.15,6.37,1,3.09
R1,Whitefield -> MG Road,Metro+Bus,19,Sunday,1,Clear,evening_rush,6.65,9.72,2,9.48
R1,Whitefield -> MG Road,Metro+Bus,1,Saturday,1,Clear,late_night,2.73,3.24,2,0.05
R1,Whitefield -> MG Road,Metro+Bus,17,Friday,0,Fog,evening_rush,6.99,7.82,1,31.02
R1,Whitefield -> MG Road,Metro+Bus,3,Tuesday,0,Clear,late_night,2.91,4.03,7,8.18
R1,Whitefield -> MG Road,Metro+Bus,0,Tuesday,0,Clear,late_night,2.76,4.29,4,4.03
R1,Whitefield -> MG Road,Metro+Bus,23,Friday,0,Clear,late_night,3.04,4.03,2,0.18
R1,Whitefield -> MG Road,Metro+Bus,10,Monday,0,Clear,morning_rush,6.71,9.72,1,13.96
R1,Whitefield -> MG Road,Metro+Bus,10,Tuesday,0,Clear,morning_rush,7.36,9.43,0,16.03
R1,Whitefield -> MG Road,Metro+Bus,5,Sunday,1,Clear,late_night,3.66,2.25,5,2.82
R1,Whitefield -> MG Road,Metro+Bus,17,Tuesday,0,Rain,evening_rush,7.44,10.0,3,28.49
R1,Whitefield -> MG Road,Metro+Bus,14,Monday,0,Fog,off_peak,6.62,3.96,2,14.22
R1,Whitefield -> MG Road,Metro+Bus,20,Thursday,0,Clear,evening_rush,7.09,9.49,5,16.16
R1,Whitefield -> MG Road,Metro+Bus,12,Saturday,1,Clear,off_peak,7.22,5.4,0,3.47
R1,Whitefield -> MG Road,Metro+Bus,21,Saturday,1,Fog,off_peak,6.97,4.95,2,17.52
R1,Whitefield -> MG Road,Metro+Bus,18,Sunday,1,Heavy Rain,evening_rush,7.51,9.14,2,29.93
R1,Whitefield -> MG Road,Metro+Bus,6,Thursday,0,Rain,off_peak,6.81,5.29,1,19.81
R1,Whitefield -> MG Road,Metro+Bus,0,Thursday,0,Rain,late_night,2.79,3.16,5,13.86
R1,Whitefield -> MG Road,Metro+Bus,21,Tuesday,0,Rain,off_peak,6.57,4.34,0,7.8
R1,Whitefield -> MG Road,Metro+Bus,22,Saturday,1,Heavy Rain,late_night,2.8,3.13,3,24.18
R1,Whitefield -> MG Road,Metro+Bus,5,Saturday,1,Clear,late_night,2.72,4.53,3,3.8
R1,Whitefield -> MG Road,Metro+Bus,3,Saturday,1,Clear,late_night,3.78,2.4,6,5.82
R1,Whitefield -> MG Road,Metro+Bus,22,Monday,0,Clear,late_night,2.96,2.93,8,3.16
R1,Whitefield -> MG Road,Metro+Bus,5,Sunday,1,Heavy Rain,late_night,2.03,2.25,2,22.6
R1,Whitefield -> MG Road,Metro+Bus,16,Saturday,1,Heavy Rain,off_peak,7.04,3.94,0,21.05
R1,Whitefield -> MG Road,Metro+Bus,20,Wednesday,0,Clear,evening_rush,6.94,8.78,3,25.1
R1,Whitefield -> MG Road,Metro+Bus,3,Saturday,1,Rain,late_night,1.56,2.9,4,10.21
R1,Whitefield -> MG Road,Metro+Bus,19,Monday,0,Fog,evening_rush,6.73,9.21,1,31.07
R1,Whitefield -> MG Road,Metro+Bus,21,Sunday,1,Clear,off_peak,6.84,4.99,0,1.34
R1,Whitefield -> MG Road,Metro+Bus,10,Monday,0,Clear,morning_rush,6.78,8.91,2,21.21
R1,Whitefield -> MG Road,Metro+Bus,15,Sunday,1,Clear,off_peak,7.15,5.33,1,1.29
R1,Whitefield -> MG Road,Metro+Bus,20,Tuesday,0,Clear,evening_rush,7.18,8.24,3,19.49
R1,Whitefield -> MG Road,Metro+Bus,20,Thursday,0,Clear,evening_rush,7.08,8.65,2,18.78
R1,Whitefield -> MG Road,Metro+Bus,10,Monday,0,Rain,morning_rush,7.28,9.33,1,32.52
R1,Whitefield -> MG Road,Metro+Bus,21,Monday,0,Rain,off_peak,6.29,4.39,1,10.69
R1,Whitefield -> MG Road,Metro+Bus,23,Sunday,1,Clear,late_night,3.69,2.61,4,0.45
R1,Whitefield -> MG Road,Metro+Bus,20,Sunday,1,Heavy Rain,evening_rush,6.89,9.31,3,26.6
R1,Whitefield -> MG Road,Metro+Bus,23,Saturday,1,Clear,late_night,2.24,2.69,2,0.0
R1,Whitefield -> MG Road,Metro+Bus,4,Wednesday,0,Clear,late_night,3.64,2.58,3,5.62
R1,Whitefield -> MG Road,Metro+Bus,13,Tuesday,0,Clear,off_peak,7.2,5.5,1,6.95
R1,Whitefield -> MG Road,Metro+Bus,7,Saturday,1,Clear,morning_rush,6.84,8.69,2,7.72
R1,Whitefield -> MG Road,Metro+Bus,3,Saturday,1,Rain,late_night,3.71,2.95,6,9.07
R1,Whitefield -> MG Road,Metro+Bus,4,Monday,0,Clear,late_night,2.74,2.25,4,3.36
R1,Whitefield -> MG Road,Metro+Bus,11,Monday,0,Clear,off_peak,7.39,4.95,1,3.5
R1,Whitefield -> MG Road,Metro+Bus,15,Friday,0,Clear,off_peak,7.07,4.72,2,0.0
R1,Whitefield -> MG Road,Metro+Bus,17,Tuesday,0,Rain,evening_rush,6.51,9.48,2,35.83
R1,Whitefield -> MG Road,Metro+Bus,15,Tuesday,0,Clear,off_peak,6.86,5.12,0,5.86
R1,Whitefield -> MG Road,Metro+Bus,8,Thursday,0,Clear,morning_rush,7.23,9.83,1,16.47
R1,Whitefield -> MG Road,Metro+Bus,20,Wednesday,0,Rain,evening_rush,7.44,8.69,3,33.04
R1,Whitefield -> MG Road,Metro+Bus,14,Tuesday,0,Rain,off_peak,6.66,4.21,1,10.86
R1,Whitefield -> MG Road,Metro+Bus,18,Saturday,1,Rain,evening_rush,6.89,8.99,1,17.26
R1,Whitefield -> MG Road,Metro+Bus,5,Sunday,1,Clear,late_night,3.44,3.6,5,2.62
R1,Whitefield -> MG Road,Metro+Bus,3,Monday,0,Clear,late_night,2.99,2.82,3,8.17
R1,Whitefield -> MG Road,Metro+Bus,8,Thursday,0,Clear,morning_rush,6.62,9.74,0,14.41
R1,Whitefield -> MG Road,Metro+Bus,11,Wednesday,0,Clear,off_peak,7.11,5.84,1,4.34
R1,Whitefield -> MG Road,Metro+Bus,4,Wednesday,0,Clear,late_night,3.85,2.33,2,2.54
R1,Whitefield -> MG Road,Metro+Bus,20,Wednesday,0,Clear,evening_rush,7.17,9.72,1,21.67
R1,Whitefield -> MG Road,Metro+Bus,3,Saturday,1,Rain,late_night,2.13,3.54,0,8.38
R1,Whitefield -> MG Road,Metro+Bus,11,Saturday,1,Clear,off_peak,6.87,4.58,1,1.35
R1,Whitefield -> MG Road,Metro+Bus,16,Wednesday,0,Clear,off_peak,7.23,5.05,0,0.0
R1,Whitefield -> MG Road,Metro+Bus,13,Monday,0,Clear,off_peak,7.33,4.65,1,0.0
R1,Whitefield -> MG Road,Metro+Bus,10,Saturday,1,Fog,morning_rush,6.94,8.47,0,18.66
R1,Whitefield -> MG Road,Metro+Bus,6,Sunday,1,Heavy Rain,off_peak,7.57,4.96,1,20.81
